data,vazao_m3s
2023-12-28,12545.6
2023-12-29,12667.9
2023-12-30,12852.9
2023-12-31,13060.5
2024-01-01,12593.1
2024-01-02,12722
2024-01-03,12851.6
2024-01-04,12938.6
2024-01-05,13047.8
2024-01-06,13146.6
2024-01-07,13301.4
2024-01-08,13412.6
2024-01-09,13569.4
2024-01-10,13693.5
2024-01-11,13829.7
2024-01-12,13978.2
2024-01-13,14104.8
2024-01-14,14255.3
2024-01-15,14442
2024-01-16,14559.5
2024-01-17,14571.3
2024-01-18,14594.9
2024-01-19,14594.9
2024-01-20,14654
2024-01-21,14713.3
2024-01-22,14760.8
2024-01-23,14784.6
2024-01-24,14844.2
2024-01-25,14856.1
2024-01-26,14939.9
2024-01-27,14999.9
2024-01-28,15048
2024-01-29,15096.3
2024-01-30,15156.7
2024-01-31,15205.2
2024-02-01,15314.6
2024-02-02,15449.1
2024-02-03,15535.1
2024-02-04,15572
2024-02-05,15658.4
2024-02-06,15683.2
2024-02-07,15708
2024-02-08,15757.6
2024-02-09,15782.5
2024-02-10,15819.8
2024-02-11,15782.5
2024-02-12,15807.4
2024-02-13,15869.7
2024-02-14,15957.2
2024-02-15,16045.1
2024-02-16,16120.6
2024-02-17,16171.1
2024-02-18,16183.8
2024-02-19,16259.7
2024-02-20,16259.7
2024-02-21,16297.8
2024-02-22,16386.9
2024-02-23,16476.3
2024-02-24,16566.1
2024-02-25,16669.1
2024-02-26,16941.4
2024-02-27,17098.3
2024-02-28,17216.6
2024-02-29,17348.7
2024-03-01,17415
2024-03-02,17534.8
2024-03-03,17708.8
2024-03-04,17830
2024-03-05,17951.6
2024-03-06,18005.9
2024-03-07,18019.5
2024-03-08,18060.3
2024-03-09,18114.7
2024-03-10,18196.7
2024-03-11,18292.5
2024-03-12,18388.8
2024-03-13,18430.1
2024-03-14,18526.8
2024-03-15,18596.1
2024-03-16,18763.1
2024-03-17,18917
2024-03-18,19043.6
2024-03-19,19199
2024-03-20,19255.8
