data,vazao_m3s
2017-12-17,8709.04
2017-12-18,8747
2017-12-19,8747
2017-12-20,8861.11
2017-12-21,8975.51
2017-12-22,9282.03
2017-12-23,9706.87
2017-12-24,10253.1
2017-12-25,10646.9
2017-12-26,10884.6
2017-12-27,11123.4
2017-12-28,11563.9
2017-12-29,12048.3
2017-12-30,12495.9
2017-12-31,12864.6
2018-01-01,13152.8
2018-01-02,13400.9
2018-01-03,13608.3
2018-01-04,13483.8
2018-01-05,13359.5
2018-01-06,13442.3
2018-01-07,13608.3
2018-01-08,13691.5
2018-01-09,13691.5
2018-01-10,13774.7
2018-01-11,13691.5
2018-01-12,13483.8
2018-01-13,13235.4
2018-01-14,13029.1
2018-01-15,12864.6
2018-01-16,12700.5
2018-01-17,12536.8
2018-01-18,12332.8
2018-01-19,12659.5
2018-01-20,13152.8
2018-01-21,13483.8
2018-01-22,13858.1
2018-01-23,14025.1
2018-01-24,14486.5
2018-01-25,14951
2018-01-26,15236.7
2018-01-27,15564.2
2018-01-28,15853.8
2018-01-29,15853.8
2018-01-30,15853.8
2018-01-31,15895.3
2018-02-01,15895.3
2018-02-02,15978.7
2018-02-03,15937
2018-02-04,15523.1
2018-02-05,15196
2018-02-06,14866.3
2018-02-07,14528.6
2018-02-08,14150.7
2018-02-09,13733.1
2018-02-10,13276.7
2018-02-11,13111.5
2018-02-12,12700.5
2018-02-13,12292.1
2018-02-14,11403.3
2018-02-15,11163.3
2018-02-16,11243.2
2018-02-17,11283.2
2018-02-18,11323.2
2018-02-19,11323.2
2018-02-20,11483.5
2018-02-21,11846
2018-02-22,12251.4
2018-02-23,12536.8
2018-02-24,12618.6
2018-02-25,12536.8
2018-02-26,12129.5
2018-02-27,11684.6
2018-02-28,11163.3
2018-03-01,10449.6
2018-03-02,9668.09
2018-03-03,9051.95
2018-03-04,8785.01
2018-03-05,8671.1
2018-03-06,8368.85
2018-03-07,8293.63
2018-03-08,8068.8
2018-03-09,7919.62
2018-03-10,7771
2018-03-11,7586.04
2018-03-12,7475.51
2018-03-13,7402
2018-03-14,7109.45
2018-03-15,6855.46
2018-03-16,6495.92
2018-03-17,6211.16
2018-03-18,5823.93
2018-03-19,5476.38
2018-03-20,5099.18
2018-03-21,4460.98
2018-03-22,4099.65
2018-03-23,3712.75
2018-03-24,3490.73
2018-03-25,3522.28
2018-03-26,3649.03
2018-03-27,3617.26
2018-03-28,4361.83
2018-03-29,5065.17
2018-03-30,5614.88
2018-03-31,6747.19
2018-04-01,8481.94
2018-04-02,10370.9
2018-04-03,12048.3
2018-04-04,13070.3
2018-04-05,13400.9
2018-04-06,13733.1
2018-04-07,14066.9
2018-04-08,14444.5
2018-04-09,14781.7
2018-04-10,15033.9
2018-04-11,15359.1
2018-04-12,15523.1
2018-04-13,15605.4
2018-04-14,15564.2
2018-04-15,15688
2018-04-16,15895.3
2018-04-17,16314.4
2018-04-18,16824.8
2018-04-19,17169.7
2018-04-20,17605.9
2018-04-21,18047.9
2018-04-22,18585.9
2018-04-23,19132.1
2018-04-24,19640.1
2018-04-25,20060.9
2018-04-26,20534
2018-04-27,21109.3
2018-04-28,21741.9
2018-04-29,22334.6
2018-04-30,22935.6
2018-05-01,23545
2018-05-02,24266.6
2018-05-03,25211.1
2018-05-04,26445.4
2018-05-05,26991.8
2018-05-06,27322.4
2018-05-07,27599.5
2018-05-08,27710.7
2018-05-09,28214.3
2018-05-10,28609.2
2018-05-11,29064.1
2018-05-12,29465.2
2018-05-13,29927.2
2018-05-14,30159.5
2018-05-15,30627.1
2018-05-16,30980.3
2018-05-17,31395
2018-05-18,31514
2018-05-19,31573.6
2018-05-20,31693
2018-05-21,31812.6
2018-05-22,31872.5
2018-05-23,31932.4
2018-05-24,32112.6
2018-05-25,32535.2
2018-05-26,33082.7
2018-05-27,33327.6
2018-05-28,33758.4
2018-05-29,34067.9
2018-05-30,34378.9
2018-05-31,34566.2
2018-06-01,34816.8
2018-06-02,34879.5
2018-06-03,34942.4
2018-06-04,34942.4
2018-06-05,34879.5
2018-06-06,34754
2018-06-07,34691.4
2018-06-08,34566.2
2018-06-09,34816.8
2018-06-10,34754
2018-06-11,34754
2018-06-12,34691.4
2018-06-13,34566.2
2018-06-14,34441.3
2018-06-15,34316.6
2018-06-16,34316.6
2018-06-17,34566.2
2018-06-18,34691.4
2018-06-19,34816.8
2018-06-20,34942.4
2018-06-21,35068.3
2018-06-22,35194.4
2018-06-23,35320.7
2018-06-24,35447.3
2018-06-25,35574.1
2018-06-26,35637.6
2018-06-27,35764.8
2018-06-28,35956
2018-06-29,36083.8
2018-06-30,36083.8
2018-07-01,35956
2018-07-02,35828.5
2018-07-03,35701.2
2018-07-04,35637.6
2018-07-05,35574.1
2018-07-06,35637.6
2018-07-07,35510.7
2018-07-08,35384
2018-07-09,35320.7
2018-07-10,35257.5
2018-07-11,35194.4
2018-07-12,35194.4
2018-07-13,35068.3
2018-07-14,35005.3
2018-07-15,35005.3
2018-07-16,35068.3
2018-07-17,35068.3
2018-07-18,34942.4
2018-07-19,34879.5
2018-07-20,34879.5
2018-07-21,34816.8
2018-07-22,34628.7
2018-07-23,34566.2
2018-07-24,34441.3
2018-07-25,34503.7
2018-07-26,34503.7
2018-07-27,34441.3
2018-07-28,34441.3
2018-07-29,34503.7
2018-07-30,34754
2018-07-31,34879.5
2018-08-01,35005.3
2018-08-02,35068.3
2018-08-03,35194.4
2018-08-04,35320.7
2018-08-05,35384
2018-08-06,35384
2018-08-07,35384
2018-08-08,35384
2018-08-09,35257.5
2018-08-10,35005.3
2018-08-11,34754
2018-08-12,34441.3
